"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Document Type","Source"
"Zhai X.; Yin Y.","Zhai, Xiaoming (57192683367); Yin, Yue (24460851700)","57192683367; 24460851700","Using educative learning progression to support novice science teachers’ lesson plan critiques","2024","International Journal of Science Education","2","10.1080/09500693.2023.2285259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180186826&doi=10.1080%2f09500693.2023.2285259&partnerID=40&md5=1b93afbb35bc59242d1b56cb5372741c","Learning progressions (LPs) are considered to have great potential to improve pedagogical practices. However, even with LPs, teachers may still be unaware of the barriers that keep students from progressing; many are struggling with essential pedagogical strategies to support students’ progression. This study thus proposed an educative LP (ELP), a framework that informs teachers about students’ cognitive development and provides pedagogical strategies to facilitate learning. Specifically, we developed an ELP of scientific modelling competence (ELPoSMC), integrating LP levels, learning challenges, and model-based inquiry, to assist teachers in lesson plan critique. We implemented the ELPoSMC with novice physics teachers (n = 32) and compared teachers’ lesson plan critiques with a control group (n = 40). Results indicate that the experimental group significantly outperformed the control group, especially on seven out of 12 functions of ELP. Teachers’ critiques addressed relationships among four elements in lesson planning: student characteristics, learning goals, teaching strategies, and curriculum materials. Experimental group were more likely to tap relationships between ‘student characteristics’ or ‘learning goals’ with other elements, while the control group tended to use ‘teaching strategies’ or ‘curriculum materials’ as a proxy for critiques. The study indicates that the ELP, compared to general LP, facilitated teachers’ attention to supporting students with varying characteristics to achieve learning goals. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","Article","Scopus"
"McAlister A.M.; Lilly S.; Chiu J.L.","McAlister, Anne M. (57192559441); Lilly, Sarah (57219849505); Chiu, Jennifer L. (14321275700)","57192559441; 57219849505; 14321275700","Exploring factors that impact physical science doctoral student role identities through a multiple case study approach","2022","Science Education","5","10.1002/sce.21754","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133484314&doi=10.1002%2fsce.21754&partnerID=40&md5=cee324ec0a750bfefd59b834e75e079b","We explore how physical science doctoral students navigate their role identities throughout their graduate programme. Physical science doctoral students take on many academic roles in addition to the role of scientist, including researcher, educator, and student. When social expectations of roles become internalized, they become role identities. We examined doctoral students' academic role identities as a complex system to unpack factors that constrain the behavior and define the nature of doctoral students' academic role identities. This multiple case study used open-ended reflective questions and narrative-style interviews with eight physical science doctoral students to explore how physical science doctoral students navigate their role identities throughout their graduate programme and the factors that may influence these identities. Responses to the reflective questions and narrative interview transcripts were qualitatively coded and salient themes are drawn through cross-case analysis. Themes were compared across data sources to further validate the findings. Participants ascribed the most value to researcher and student identities and the least value to an educator identity. Time spent in a role, institutional recognition, advisor relationships, community in graduate school, and interest were factors that participants perceived to influence their role identities, along with the gender identity of women. Implications highlight the ways in which institutions may be able to support doctoral students in graduate school, including increased support for time management, equitable opportunities for authentic research experiences, equitable support in advisor relationships, and the importance of intentionally fostering community within science departments. © 2022 The Authors. Science Education published by Wiley Periodicals LLC.","Article","Scopus"
"Kaczkó É.; Ostendorf A.","Kaczkó, Éva (57386420900); Ostendorf, Annette (57079704100)","57386420900; 57079704100","Critical thinking in the community of inquiry framework: An analysis of the theoretical model and cognitive presence coding schemes","2023","Computers and Education","37","10.1016/j.compedu.2022.104662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145554176&doi=10.1016%2fj.compedu.2022.104662&partnerID=40&md5=b2e6fca3e6e78b3dc7fac0b21b6ad104","The Community of Inquiry (CoI) framework has been widely used in online teaching in higher education over the past twenty years. Its goal is to support students' professional development while fostering their critical thinking. In this paper, we thematically analyze how the framework authors' interpretations of critical thinking translate into the construct of cognitive presence—operationalized in the Practical inquiry model—and its commonly used coding scheme(s). We show that the framework suffers from having become a “pragmatic” tool, thus compromising the intended dimension of fostering critical thinking. Furthermore, we draw attention to the “acting” role of coding schemes, which may have consequences for research and teaching practice. In a first step, we examine the theoretical assumptions based on Lipman's and Garrison and Archer's ideas about the target category of critical thinking incorporated in the CoI framework. Although the framework is informed by a community of inquiry in Lipman's sense, we show that the chief characteristic of critical thinking associated with facilitating good judgment is not sufficiently addressed. Critical thinking is conceptualized more as confirmation of knowledge structures and problem-solving thinking within the Practical Inquiry model. In a second step, we systematically analyze cognitive presence coding schemes as research tools for capturing critical thinking. We trace a narrowing view of critical thinking within the CoI framework and regarding the coding schemes that measure cognitive presence. Consequently, we raise awareness of the risks in educational research arising from the complexity-reducing modeling and operationalizing of multifaceted educational concerns, such as critical thinking in a community of inquiry. © 2022 The Authors","Article","Scopus"
"Cirkony C.","Cirkony, Connie (57205483164)","57205483164","Flexible, creative, constructive, and collaborative: the makings of an authentic science inquiry task","2023","International Journal of Science Education","10","10.1080/09500693.2023.2213384","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159865438&doi=10.1080%2f09500693.2023.2213384&partnerID=40&md5=b6b7635b4691d5350b9bcc392248974f","To promote scientific literacy in school science, students need to learn key concepts in science, along with the nature of scientific knowledge and how it is generated. Ideally, this learning mirrors authentic scientific inquiry through student engagement in three key epistemic practices: flexibility and creativity, knowledge construction, and collaboration. This paper draws on findings from a larger research study investigating the implementation of a guided-inquiry multimodal approach to teaching science. It reports on a case study of three Australian Year 9 science students investigating sustainable design strategies for houses, as a summative task. Through a post-hoc analysis, this paper explores how, and to what extent, the task supported the epistemic practices of authentic scientific inquiry. To address these questions, the author developed and applied an Authentic Inquiry Framework (AIF) to analyse the students’ dialogue and interactions during this task. The findings reveal that the students applied a flexible and creative approach to addressing their inquiry questions, through their own experimental design and engagement in provisional and collaborative knowledge construction. To support their investigation, the students were also able to productively integrate disciplinary-specific tools and technologies. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Article","Scopus"
"Garah L.; Kapon S.","Garah, Lulu (58551192100); Kapon, Shulamit (26433439600)","58551192100; 26433439600","The reification of identity narratives in teacher–student discourse during an inquiry project","2024","Science Education","3","10.1002/sce.21831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168908739&doi=10.1002%2fsce.21831&partnerID=40&md5=9211b62043b0c7a66b538f84522ff10f","We present a year-long case study that documents the interactions between a teacher–research–mentor (TRM) and two 11th grade students working in their school laboratory on an extended inquiry project that is part of reformed mandatory requirements for advanced-level matriculation in physics. Both the students (females) and the TRM (male) are Arab citizens of Israel, and the school is a public Arab school in Israel. Data were collected through videotaped participant observation of authentic working sessions and interviews with the TRM and the students. The analysis combines an ethnographic account with discourse analysis informed by a sociolinguistic approach that aims to answer the following research questions: (1) how are a teacher's identity-narratives reified in teacher–student discourse in authentic sessions of mentoring students' inquiry? (2) how do they shape students' learning? and (3) how do they emerge from social–historical contexts? The findings problematize the challenges involved in engaging students from nondominant communities in science, technology, engineering, and mathematics learning. The analysis articulates the complexity of this challenge by showing how teachers' identity narratives shape the social construction of student–teacher discourse, generate tensions that undermine successful implementations of reformed learning experiences, and how this vicious cycle is profoundly influenced by the embedding social and historical contexts. The implications for research and practice are discussed. © 2023 The Authors. Science Education published by Wiley Periodicals LLC.","Article","Scopus"
"Cappelle V.; Franco L.G.; Munford D.","Cappelle, Vanessa (58483424700); Franco, Luiz Gustavo (57216445499); Munford, Danusa (8703054600)","58483424700; 57216445499; 8703054600","Spatiotemporal relationships in science lessons: Building learning opportunities over time","2023","Science Education","1","10.1002/sce.21808","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164526662&doi=10.1002%2fsce.21808&partnerID=40&md5=efaa4e0f503bf7fa29b8ed65a6517429","In this study, we investigated the construction of science learning opportunities focusing on space−time relationships. Guided by ethnography in education, we followed the everyday life of a classroom over their three first years at elementary school. Based on macroanalysis, we examined discursive interactions in temporally distant events and how participants built relationships between these events. Verbal tense, agents in narratives, and relations between texts/contexts guided microanalyses. Results indicate that teacher and students evoked space−time relationships that become an epistemic tool for this class. These relationships structured narratives which the actor in scientific inquiry was the class as a group. Moreover, space−time connections provided articulations between the conceptual, epistemic, and social domains of scientific knowledge in science lessons over time. We discuss methodological contributions of the study, in addition to implications for positioning students as epistemic agents in science learning. © 2023 Wiley Periodicals LLC.","Article","Scopus"
"Kácovský P.; Jedličková T.; Kuba R.; Snětinová M.; Surynková P.; Vrhel M.; Stratilová Urválková E.","Kácovský, Petr (57201947222); Jedličková, Tereza (57479986700); Kuba, Radim (57192958289); Snětinová, Marie (57193386301); Surynková, Petra (56411993800); Vrhel, Matěj (57732877700); Stratilová Urválková, Eva (57223846865)","57201947222; 57479986700; 57192958289; 57193386301; 56411993800; 57732877700; 57223846865","Czech and Slovak intended curricula in science subjects and mathematics: a comparative study","2024","International Journal of Science Education","2","10.1080/09500693.2023.2243372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167780839&doi=10.1080%2f09500693.2023.2243372&partnerID=40&md5=75de2ab5bb4f6859e36a3a4960bc5fee","A curriculum is generally regarded as an instructional plan that describes what, why and how students should learn. In this comparative study, we analysed the Czech and Slovak intended curricula of science subjects (physics, chemistry, biology, geography, and geology) and mathematics by comparing their national curriculum documents in terms of learning outcomes at the lower secondary level (ISCED level 2). Our analysis showed significant differences in the number of obligatory learning outcomes, which were much higher in the Slovak curriculum than in the Czech curriculum. The structure of these outcomes also differed across subjects and between countries. Nevertheless, the cognitive demands of the learning outcomes analysed using the revised Bloom’s taxonomy were similar in the two countries, but metacognitive knowledge and higher-level cognitive processes were rarely represented in either. Additionally, by inductive content analysis of the Slovak curriculum document, we identified two significant groups of cross-curricular requirements, namely outcomes related to scientific inquiry and outcomes requiring working with information. Overall, these learning outcomes are underrepresented in both analysed documents (particularly in the Czech document) even though the skills that these outcomes develop are in high demand in the current context. © 2023 Charles University, Prague. Published by Informa UK Limited, trading as Taylor & Francis Group.","Article","Scopus"
"Shin N.; Bowers J.; Roderick S.; McIntyre C.; Stephens A.L.; Eidin E.; Krajcik J.; Damelin D.","Shin, Namsoo (39262695600); Bowers, Jonathan (57222488743); Roderick, Steve (57222507156); McIntyre, Cynthia (57193081274); Stephens, A. Lynn (36560446400); Eidin, Emil (57219840125); Krajcik, Joseph (6603708402); Damelin, Daniel (41460954100)","39262695600; 57222488743; 57222507156; 57193081274; 36560446400; 57219840125; 6603708402; 41460954100","A framework for supporting systems thinking and computational thinking through constructing models","2022","Instructional Science","29","10.1007/s11251-022-09590-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134657016&doi=10.1007%2fs11251-022-09590-9&partnerID=40&md5=9962c92c2f681b5bc53211af538aa953","We face complex global issues such as climate change that challenge our ability as humans to manage them. Models have been used as a pivotal science and engineering tool to investigate, represent, explain, and predict phenomena or solve problems that involve multi-faceted systems across many fields. To fully explain complex phenomena or solve problems using models requires both systems thinking (ST) and computational thinking (CT). This study proposes a theoretical framework that uses modeling as a way to integrate ST and CT. We developed a framework to guide the complex process of developing curriculum, learning tools, support strategies, and assessments for engaging learners in ST and CT in the context of modeling. The framework includes essential aspects of ST and CT based on selected literature, and illustrates how each modeling practice draws upon aspects of both ST and CT to support explaining phenomena and solving problems. We use computational models to show how these ST and CT aspects are manifested in modeling. © 2022, The Author(s).","Review","Scopus"
"Visintainer T.","Visintainer, Tammie (8398458900)","8398458900","Teaching health justice and reimagining narratives of place through community-driven science practices","2023","Journal of Research in Science Teaching","3","10.1002/tea.21857","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150623433&doi=10.1002%2ftea.21857&partnerID=40&md5=74fc538e7a8283a0ffb9d354356221af","This study explores how a biology teacher from a summer science program engaged high school students of color in a three-week science unit exploring community health at the intersection of history, race, place, and power. The goal of this study is to better understand what community-driven science looks like in a science classroom when a health equity unit is guided by a biology teacher who engages the socio-historical, political, and relational aspects of community structure and agency. Using student and instructor interviews, program observations, and student artifacts, I examine how the instructor's positioning as a Black woman scientist shaped her goals and vision and the instructional and pedagogical resources made available during the unit. In addition, I explore how engaging in community-driven science practices during the unit such as critical inquiry and data analysis supported students' sense making about community health and the possibilities they imagined for their communities. Findings illuminate how engaging community health at the intersection of history, race, place, and power shaped engagement in community-driven science practices and supported student sense making in ways that surfaced challenges, tensions, and opportunities for disrupting and reimagining community narratives. Further, finding highlight the importance of an instructor's lived experiences and pedagogical vision in supporting emergent forms of student agency and place remaking, and generating possibilities for community healing and hope. © 2023 The Authors. Journal of Research in Science Teaching published by Wiley Periodicals LLC on behalf of National Association for Research in Science Teaching.","Article","Scopus"
"Russell J.L.; DiNapoli J.; Murray E.","Russell, John Lawson (57213784910); DiNapoli, Joseph (57192674792); Murray, Eileen (57757373000)","57213784910; 57192674792; 57757373000","Documenting professional learning focused on implementing high-quality instructional materials in mathematics: the AIM–TRU learning cycle","2022","International Journal of STEM Education","6","10.1186/s40594-022-00362-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134262934&doi=10.1186%2fs40594-022-00362-y&partnerID=40&md5=004ba392608baaa7b1475a5a3a0165d7","Background: To increase teachers’ capacity to implement high-quality instructional materials with fidelity in their classrooms through a video-based professional learning cycle, the Analyzing Instruction in Mathematics Using the Teaching for Robust Understanding framework (AIM–TRU) research–practice partnership was formed. Drawing upon the design-based research paradigm, AIM–TRU created the initial design for the professional learning cycle and wanted to engage in continued iterative redesign as the year progressed. This necessitated a method, common among those who adjust their designs when applying them in context, by which to document and justify changes made over time to our model. The research contained in this article used qualitative methods to articulate and test the design underlying our professional learning cycle by advancing conjecture mapping, a device by which the embodiments of the design are made transparent to be analyzed in practice. Results: The initial design conjectures and activity structures teachers engaged in through our model of professional learning were refined to address three themes that emerged. Firstly, it was found that the ways participants engaged with the mathematics of the lesson were underwhelming, in large part, because our own definition of what rich talk around mathematics should entail was lacking in details such as the mathematical objects in the lesson, the presence of multiple solution pathways, or the various representations that students could use. Second, talk structures did not always allow for equitable exchanges among all teachers. Finally, activity structures did not encourage teachers to delve deeply into the mathematics so they could perceive the lesson as a coherent piece of their own classroom curriculum. Our design conjectures and activity structures were revised over the course of the year. Conclusions: Our use of conjecture mapping allowed us to address the concern with research–practice partnerships that they should develop and utilize tools that make the systemic inquiry they engage in transparent, allowing for other researchers, practitioners, and stakeholders to see the complete design process and make use of the findings for their local context. Implications for this process as a tool for those who pilot and scale professional development are raised and addressed. © 2022, The Author(s).","Article","Scopus"
"Matuk C.; Yetman-Michaelson L.; Martin R.; Vasudevan V.; Burgas K.; Davidesco I.; Shevchenko Y.; Chaloner K.; Dikker S.","Matuk, Camillia (55103869500); Yetman-Michaelson, Lucy (58041893900); Martin, Rebecca (57324502400); Vasudevan, Veena (55800304100); Burgas, Kim (57324690300); Davidesco, Ido (55555506900); Shevchenko, Yury (56185711400); Chaloner, Kim (57205642797); Dikker, Suzanne (25929868500)","55103869500; 58041893900; 57324502400; 55800304100; 57324690300; 55555506900; 56185711400; 57205642797; 25929868500","Open science in the classroom: students designing and peer reviewing studies in human brain and behavior research","2023","Instructional Science","1","10.1007/s11251-023-09633-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164786826&doi=10.1007%2fs11251-023-09633-9&partnerID=40&md5=34cf49a4e11f3ad64b4deca4cc3e82b7","Citizen science programs offer opportunities for K-12 students to engage in authentic science inquiry. However, these programs often fall short of including learners as agents in the entire process, and thus contrast with the growing open science movement within scientific communities. Notably, study ideation and peer review, which are central to the making of science, are typically reserved for professional scientists. This study describes the implementation of an open science curriculum that engages high school students in a full cycle of scientific inquiry. We explored the focus and quality of students’ study designs and peer reviews, and their perceptions of open science based on their participation in the program. Specifically, we implemented a human brain and behavior citizen science unit in 6 classrooms across 3 high schools. After learning about open science and citizen science, students (N = 104) participated in scientist-initiated research studies, and then collaboratively proposed their own studies to investigate personally interesting questions about human behavior and the brain. Students then peer reviewed proposals of students from other schools. Based on a qualitative and quantitative analysis of students’ artifacts created in-unit and on a pre and posttest, we describe their interests, abilities, and self-reported experiences with study design and peer review. Our findings suggest that participation in open science in a human brain and behavior research context can engage students with critical aspects of experiment design, as well as with issues that are unique to human subjects research, such as research ethics. Meanwhile, the quality of students’ study designs and reviews changed in notable, but mixed, ways: While students improved in justifying the importance of research studies, they did not improve in their abilities to align methods to their research questions. In terms of peer review, students generally reported that their peers' feedback was helpful, but our analysis showed that student reviewers struggled to articulate concrete recommendations for improvement. In light of these findings, we discuss the need for curricula that support the development of research and review abilities by building on students’ interests, while also guiding students in transferring these abilities across a range of research foci. © 2023, The Author(s), under exclusive licence to Springer Nature B.V.","Article","Scopus"
"Matuk C.; Linn M.C.","Matuk, Camillia (55103869500); Linn, Marcia C. (7006538185)","55103869500; 7006538185","Students’ perceptions of the impacts of peer ideas in inquiry learning","2023","Instructional Science","5","10.1007/s11251-022-09607-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145408445&doi=10.1007%2fs11251-022-09607-3&partnerID=40&md5=0e77d52d92feb17475545074bd002947","Peer ideas can be valuable contributions to scientific inquiry. Divergent peer ideas can enrich students' thinking and encourage curiosity. Meanwhile, similar peer ideas can promote convergent thinking that can reinforce understanding. However, students need guidance in critically evaluating peer ideas in relation to their own, and in recognizing the influence of peers’ ideas. Guided by the Knowledge Integration framework, we explore whether students’ perceptions of the impact of peers’ ideas align with the revisions made to their written explanations. In a technology-rich, classroom-based inquiry unit on cancer cell division, Grade 7 students (N = 144) investigated the effects of different cancer treatments on cell division, and developed explanations for a recommended treatment. We prompted one group of students to visit a class repository to seek peer ideas similar to their own, and another to seek ideas different from their own. Both groups then revised their recommendations. Based on analyses of students' reflections, initial and revised explanations, and pre and posttests, we found that students prompted to seek divergent ideas perceived peers’ ideas to be more impactful, even though both groups of students revised at the same rate and made similar pre to posttest gains. This study suggests a need to attend to students’ perceptions of the roles of their peers, particularly in environments designed to reflect authentic processes of the social construction of scientific knowledge. © 2023, The Author(s), under exclusive licence to Springer Nature B.V.","Article","Scopus"
"Marôco J.; Harju-Lukkainnen H.; Rautopuro J.","Marôco, João (6602157617); Harju-Lukkainnen, Heidi (59320898800); Rautopuro, Juhani (15030373500)","6602157617; 59320898800; 15030373500","Worldwide predictors of science literacy in lower-secondary students: a TIMSS 2019 analysis","2024","International Journal of Science Education","0","10.1080/09500693.2024.2394239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203530019&doi=10.1080%2f09500693.2024.2394239&partnerID=40&md5=0e53243b58b637d9c306fc470368631b","In today's technologically advanced and environmentally challenging landscape, enhancing global scientific literacy is increasingly imperative. A solid grasp of scientific principles is vital for fostering innovation and achieving sustainable development worldwide. Utilizing data from the International Association for the Evaluation of Educational Achievement (IEA) Trends in International Mathematics and Science Study (TIMSS), this study inquiries into various factors impacting grade eight students' science literacy in the TIMSS 2019 assessment. Exploring student socioeconomic status, cultural background, attitudes towards science, school organisation, teacher experiences, and country-level variables, we aimed to identify predictive associations with science literacy. Additionally, we correlated TIMSS 2019 results with the United Nations Development Program's Human Development Index (HDI). Employing three-level Hierarchical Linear Modeling, we assessed which student, teacher, and country-level variables were linked to grade 8 science literacy. Results indicate that the students' socioeconomic resources and motivation/confidence in science positively influence science literacy. Conversely, a higher percentage of science items covered in national curricula was weakly associated with lower science literacy scores. Teachers reporting greater teaching limitations due to student needs showed negative correlations with science scores. At the country level, the HDI emerged as the strongest correlate with grade 8 science literacy. These findings underscore the multifaceted nature of science literacy and its interplay with various socio-cultural and educational factors on a global scale. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Article","Scopus"
"Gerondio L.B.; Unabia W.A.R.; Mayang Z.M.; Alimbon J.A.","Gerondio, Louie B. (58613974000); Unabia, Whelyn Aura R. (58614570500); Mayang, Zaira M. (58613974100); Alimbon, Jemer A. (57224193040)","58613974000; 58614570500; 58613974100; 57224193040","Junior high school students’ views of nature of science: evidence from a private school in Davao Region, Philippines","2024","International Journal of Science Education","3","10.1080/09500693.2023.2260522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171975677&doi=10.1080%2f09500693.2023.2260522&partnerID=40&md5=565dc08408961ad7fbdf21398b4f0042","Understanding nature of science (NOS) is integral to the development of students’ scientific literacy. While NOS studies are growing worldwide, none of these reported on the views of secondary school learners in the Philippines. Hence, this study examined the Filipino junior high school (JHS) students’ views of the NOS and determined whether significant differences existed when these views were analysed according to gender and grade level. Through convenience sampling, a total of 173 JHS students from a private school in Davao Region, Philippines, participated in this study. Employing a convergent parallel mixed method design, data were collected using the Student Understanding of Science and Scientific Inquiry questionnaire. Analyses of quantitative and qualitative data revealed that the sampled JHS students did not have well-informed views of various NOS aspects. Mainly, students held transitional views of most NOS tenets. Further analysis showed that a significant gender-based difference only existed in the imaginative and creative aspect while, significant grade level-based differences were only noted among Likert responses of students in the tentative and observation and inferences aspects of NOS. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","Article","Scopus"
"Kervinen A.; Aivelo T.","Kervinen, Anttoni (57204854014); Aivelo, Tuomas (56598053300)","57204854014; 56598053300","Secondary school students' responses to epistemic uncertainty during an ecological citizen science inquiry","2023","Science Education","8","10.1002/sce.21809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164728668&doi=10.1002%2fsce.21809&partnerID=40&md5=d0c9801174b6ade4fbe840501a09a39a","Uncertainty is endemic to scientific research practices; therefore, it is also an important element in learning about science. Studies have shown that experiences and management of uncertainty regarding the epistemic practices of science can support learning. Whereas the common strategies of supporting students in handling uncertainty rely on the teacher knowing the preferred outcomes and answers, few studies have explored settings in which no one can give the right answers to students. In this study, we explore how Finnish, suburban secondary school students (aged 13–14 years) respond to epistemic uncertainty during an ecological citizen science inquiry, in which the aim is to produce novel scientific knowledge. Drawing from qualitative interaction analysis of video and interview data, we articulate three responses to uncertainty that arise when students try to make optimal choices during the inquiry: they (a) envision alternative narrative scenarios and hypothesis; (b) accept and maintain it as part of their argumentation practices, and (c) flexibly reframe their research activities and goals. The findings indicate that the citizen science setting can allow students to reframe epistemic uncertainty in ways that are typical of scientific practices even without deliberate scaffolding by the teacher. We suggest that incorporating experiences of uncertainty that are shared by students and teachers in pedagogical design can support doing and learning science in different settings. © 2023 The Authors. Science Education published by Wiley Periodicals LLC.","Article","Scopus"
"Kersting M.; Karlsen S.; Ødegaard M.; Olufsen M.; Kjærnsli M.; Suhr Lunde M.L.","Kersting, Magdalena (57202450260); Karlsen, Solveig (7004977067); Ødegaard, Marianne (56062396000); Olufsen, Magne (57216950152); Kjærnsli, Marit (23489006400); Suhr Lunde, Mai Lill (23475280800)","57202450260; 7004977067; 56062396000; 57216950152; 23489006400; 23475280800","Studying the quality of inquiry-based teaching in science classrooms. A systematic video study of inquiry-based science teaching in primary and lower-secondary schools","2023","International Journal of Science Education","7","10.1080/09500693.2023.2213386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159718908&doi=10.1080%2f09500693.2023.2213386&partnerID=40&md5=178e49d938de122d403113f2a7e76e0e","A large body of research has studied the role and potential of inquiry to increase the quality of teaching in science education. While much of this existing research is based on international large-scale assessment studies, we still lack a clear understanding of the factors that influence the quality of inquiry-based science teaching in actual classroom practices. In this paper, we operationalise teaching quality through an observation manual, and we drew on this manual to systematically analyse video data of instructional practices in 20 Norwegian science classrooms at the primary and lower-secondary school level (73 observed lessons and about 450 students). We identified varying quality in the individual inquiry phases and differences between primary and lower-secondary schools. We observed that primary-school students collected and documented data more systematically than lower-secondary students and that consolidations were slightly more emphasised and of higher quality at the lower-secondary than at the primary level. Moreover, our findings indicate that inquiry-based teaching gave students more freedom to make their own choices and increased the quality of student participation in the classroom. Based on our findings, we discuss how teachers can improve the quality of inquiry-based instruction and empower students in the classroom. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Article","Scopus"
"Chi S.; Wang Z.","Chi, Shaohui (56099816400); Wang, Zuhao (55278314500)","56099816400; 55278314500","Students’ science learning experiences and career expectations: mediating effects of science-related attitudes and beliefs","2023","International Journal of Science Education","8","10.1080/09500693.2023.2175184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149326503&doi=10.1080%2f09500693.2023.2175184&partnerID=40&md5=90a6b6eeeef62445265e68caabbed25f","In response to growing concerns about adolescents’ low expectations for science-related careers, this study explores the mechanisms of the ternary associations among science learning experiences, science-related attitudes and beliefs, and science-related career expectations, involving a sample of 9841 15-year-old students from four Chinese provinces (Beijing, Shanghai, Jiangsu, and Guangdong) who took part in the sixth cycle of the Programme for International Student Assessment (PISA). The results of the path analysis reveal that (i) both formal and informal learning experiences had positive relationships with science-related attitudes and beliefs; (ii) enjoyment of science, science self-efficacy, science outcome expectations, and epistemological beliefs about science had positive effects on career expectations; (iii) inquiry-based learning experiences were negatively associated with career expectations, although the direct association was suppressed by enjoyment of science, science self-efficacy, and science outcome expectations; (iv) teacher-directed science learning experiences had a positive impact on career expectations, fully mediated by enjoyment of science, epistemological beliefs about science, and science outcome expectations; and (v) all four science-related attitudes and beliefs played full mediating roles in the relationship between informal science learning experiences and career expectations. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","Article","Scopus"
"Maddens L.; Depaepe F.; Raes A.; Elen J.","Maddens, Louise (57207256521); Depaepe, Fien (6503947564); Raes, Annelies (54785256600); Elen, Jan (7004075208)","57207256521; 6503947564; 54785256600; 7004075208","Fostering students’ motivation towards learning research skills: the role of autonomy, competence and relatedness support","2023","Instructional Science","16","10.1007/s11251-022-09606-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144716722&doi=10.1007%2fs11251-022-09606-4&partnerID=40&md5=a94ed0c26959d4f73b64a3d4d97d9ec6","In order to design learning environments that foster students’ research skills, one can draw on instructional design models for complex learning, such as the 4C/ID model (in: van Merriënboer and Kirschner, Ten steps to complex learning, Routledge, London, 2018). However, few attempts have been undertaken to foster students’ motivation towards learning complex skills in environments based on the 4C/ID model. This study explores the effects of providing autonomy, competence and relatedness support (in Deci and Ryan, Psychol Inquiry 11(4): 227–268, https://doi.org/10.1207/S15327965PLI1104_01, 2000) in a 4C/ID based online learning environment on upper secondary school behavioral sciences students’ cognitive and motivational outcomes. Students’ cognitive outcomes are measured by means of a research skills test consisting of short multiple choice and short answer items (in order to assess research skills in a broad way), and a research skills task in which students are asked to integrate their skills in writing a research proposal (in order to assess research skills in an integrative manner). Students’ motivational outcomes are measured by means of students’ autonomous and controlled motivation, and students’ amotivation. A pretest-intervention-posttest design was set up in order to compare 233 upper secondary school behavioral sciences students’ outcomes among (1) a 4C/ID based online learning environment condition, and (2) an identical condition additively providing support for students’ need satisfaction. Both learning environments proved equally effective in improving students’ scores on the research skills test. Students in the need supportive condition scored higher on the research skills task compared to their peers in the baseline condition. Students’ autonomous and controlled motivation were not affected by the intervention. Although, unexpectedly, students’ amotivation increased in both conditions, students’ amotivation was lower in the need supportive condition compared to students in the baseline condition. Theoretical relationships were established between students’ need satisfaction, students’ motivation (autonomous, controlled, and amotivation), and students’ cognitive outcomes. These findings are discussed taking into account the COVID-19 affected setting in which the study took place. © 2022, The Author(s), under exclusive licence to Springer Nature B.V.","Review","Scopus"
